year,city,highschoolStudentNum,interruptedNum,interruptedRatio
2015,서울,308306,2879,0.009338125
2016,서울,299556,2940,0.009814525
2017,서울,282968,3197,0.011298097
2018,서울,259554,3277,0.012625504
2019,서울,236689,3170,0.013393102
2015,부산,109773,1220,0.011113844
2016,부산,105793,1017,0.009613112
2017,부산,99662,1153,0.011569104
2018,부산,90667,1200,0.013235245
2019,부산,82132,1043,0.01269907
2015,대구,95199,930,0.00976901
2016,대구,91904,1068,0.011620822
2017,대구,86664,954,0.011008031
2018,대구,78245,918,0.011732379
2019,대구,70945,877,0.012361689
2015,인천,98764,851,0.0086165
2016,인천,96539,966,0.010006319
2017,인천,92195,930,0.010087315
2018,인천,84916,1084,0.012765557
2019,인천,78401,1024,0.013061058
2015,광주,63937,682,0.01066675
2016,광주,62357,674,0.01080873
2017,광주,58976,712,0.012072708
2018,광주,53891,664,0.012321167
2019,광주,49048,621,0.012661067
2015,대전,58598,584,0.00996621
2016,대전,57087,549,0.009616901
2017,대전,53770,578,0.010749489
2018,대전,49332,604,0.012243574
2019,대전,44895,609,0.013564985
2015,울산,46140,274,0.005938448
2016,울산,44558,327,0.007338749
2017,울산,41930,293,0.006987837
2018,울산,37687,351,0.009313556
2019,울산,33866,278,0.008208823
2015,세종,5112,67,0.013106416
2016,세종,6463,83,0.012842333
2017,세종,7639,99,0.012959811
2018,세종,8574,120,0.013995801
2019,세종,9475,190,0.02005277
2015,경기,444554,4517,0.010160745
2016,경기,440319,4808,0.010919356
2017,경기,422839,5542,0.013106643
2018,경기,393008,5588,0.01421854
2019,경기,364168,5654,0.015525801
2015,강원,54836,661,0.012054125
2016,강원,53516,691,0.012912026
2017,강원,50599,719,0.014209767
2018,강원,46727,756,0.016179083
2019,강원,42570,716,0.016819356
2015,충북,56227,671,0.011933768
2016,충북,54937,759,0.013815825
2017,충북,52306,709,0.01355485
2018,충북,48369,752,0.015547148
2019,충북,44053,705,0.01600345
2015,충남,73563,840,0.011418784
2016,충남,73039,897,0.01228111
2017,충남,70405,927,0.013166679
2018,충남,65509,922,0.014074402
2019,충남,60433,942,0.01558751
2015,전북,71544,715,0.00999385
2016,전북,70449,737,0.010461469
2017,전북,67149,751,0.011184083
2018,전북,62354,804,0.012894121
2019,전북,56769,786,0.013845585
2015,전남,68407,752,0.010993027
2016,전남,66973,758,0.011317994
2017,전남,63631,799,0.012556773
2018,전남,58249,765,0.013133273
2019,전남,52755,679,0.012870818
2015,경북,90238,882,0.009774153
2016,경북,88456,1007,0.011384191
2017,경북,84926,952,0.011209759
2018,경북,77945,1002,0.012855218
2019,경북,71272,1034,0.014507801
2015,경남,120084,1156,0.009626595
2016,경남,117575,1275,0.010844142
2017,경남,111618,1294,0.011593112
2018,경남,102461,1150,0.011223783
2019,경남,93849,1154,0.012296348
2015,제주,22984,169,0.007352941
2016,제주,22936,147,0.006409138
2017,제주,22422,164,0.007314245
2018,제주,21088,189,0.008962443
2019,제주,19707,198,0.010047191
