시도,국어,,수학가,,수학나,,영어,
시도평균,표준점수,편차,표준점수,편차,표준점수,편차,표준점수,편차
서울,100.3,20.4,102.7,18.5,99.7,20.8,101.3,20.5
부산,98.7,19.2,99.4,18.7,99.2,19,98.5,19
대구,101.5,18.1,101.5,17.7,101.9,18.5,101.5,18.2
인천,96.4,19.6,98.4,18.8,98.4,18.8,95.2,19.2
광주,100.8,18.6,103.1,17.1,102.2,18.7,100.5,18.5
대전,98.6,19.4,99.4,18.5,98.6,19.2,99.2,19.1
울산,97.7,19.3,102.1,18.3,100.7,18.1,97.4,18.6
경기,97.5,20.6,99.6,19.6,97.6,19.9,97.4,20.5
강원,95.5,19.3,94.3,20.1,96.8,18.3,93.8,18.7
충북,98.6,18.9,95.7,19.6,100.3,18.2,97.7,17.7
충남,96.9,20.7,93.5,21.8,98.9,18.6,96.5,19.7
전북,99,19.6,93.7,20.3,99,19.1,96.9,19.2
전남,95.9,19.7,91.8,20.5,97.7,18.7,94.7,19.3
경북,97.7,20.1,95,20.6,99.2,18.7,96.6,19.6
경남,96,20,93.9,20.6,98.5,18.7,95,19.2
제주,102.6,19.1,106.1,15.9,104.2,19.1,101.5,18.6
세종,94.8,21,88,20.5,96.7,19.5,94.1,21.7
전체,98.3,20,98.9,19.6,99,19.4,98.1,19.8
