"","year","location","illness_2011","maladjustment_2011","behaviour_2011","housework_2011","etc_2011","illness_2012","housework_2012","maladjustment_2012","abroad_2012","etc_2012","dropout","expelled","sum","num_of_highschool_students","interrupted_ratio"
"1",1999,"전국",31749,0,0,0,0,8083633,3935537,1896956,2251140,1399389,851751,0,8083633,2251140,3.59090638520927
"2",2000,"전국",32896,0,0,0,0,7951998,4019991,1860539,2071468,1324482,746986,0,7951998,2071468,3.8388225162059
"3",2001,"전국",27736,0,0,0,0,7831754,4089429,1831152,1911173,1259975,651198,0,7831754,1911173,4.09787810941239
"4",2002,"전국",21315,0,0,0,0,7774905,4138366,1841030,1795509,1220146,575363,0,7774905,1795509,4.33019550445027
"5",2003,"전국",17145,0,0,0,0,7796796,4175626,1854641,1766529,1224452,542077,0,7796796,1766529,4.41362468433861
"6",2004,"전국",14610,0,0,0,0,7796298,4116195,1933543,1746560,1232010,514550,0,7796298,1746560,4.46380198790766
"7",2005,"전국",12910,0,0,0,0,7796401,4022801,2010704,1762896,1259792,503104,0,7796401,1762896,4.42249627885026
"8",2006,"전국",15314,0,0,0,0,7776211,3925043,2075311,1775857,1281508,494349,0,7776211,1775857,4.37884976098864
"9",2007,"전국",17466,0,0,0,0,7734531,3829998,2063159,1841374,1347363,494011,0,7734531,1841374,4.20041284388723
"10",2008,"전국",18305,0,0,0,0,7617796,3672207,2038611,1906978,1419486,487492,0,7617796,1906978,3.99469527178604
"11",2009,"전국",17121,0,0,0,0,7447159,3474395,2006972,1965792,1484966,480826,0,7447159,1965792,3.78837588106982
"12",2010,"전국",0,21808,1268,14140,1671,7236248,3299094,1974798,1962356,1496227,466129,0,7275135,1962356,3.70734718878736
"13",2011,"전국",0,21198,1217,12926,2050,6986847,3132477,1910572,1943798,0,0,1425882,6506322,1943798,3.34722126476105
"14",2012,"전국",0,20772,1114,11238,1810,6721176,2951995,1849094,1920087,0,0,1381130,6217153,1920087,3.23795380105172
"15",2013,"전국",0,19224,804,8782,1572,6481492,2784000,1804189,1893303,0,0,1356070,5974641,1893303,3.15567080388084
"16",2014,"전국",0,15951,894,7186,1287,6285792,2728509,1717911,1839372,0,0,1314073,5785811,1839372,3.1455360851421
"17",2015,"전국",0,13946,765,6652,1191,6088827,2714610,1585951,1788266,0,0,1278008,5601123,1788266,3.13215315842274
"18",2016,"전국",0,14924,753,6807,1257,5882790,2672843,1457490,1752457,0,0,1256108,5410182,1752457,3.08719814523266
"19",2017,"전국",0,15069,866,7301,1270,5725260,2674227,1381334,1669699,0,0,1193562,5273629,1669699,3.15843095072825
"20",2018,"전국",0,14677,915,8052,1334,5584249,2711385,1334288,1538576,0,0,1096331,5166982,1538576,3.35828844333982
"21",2019,"전국",0,13791,961,7927,1215,5452805,2747219,1294559,1411027,0,0,1001756,5067428,1411027,3.59130477304828
"22",1999,"서울",7315,0,0,0,0,1646922,753606,390220,503096,358908,144188,0,1646922,503096,3.27357402960866
"23",2000,"서울",7153,0,0,0,0,1588116,759443,375605,453068,335684,117384,0,1588116,453068,3.50524866024526
"24",2001,"서울",5268,0,0,0,0,1537996,762967,364688,410341,316836,93505,0,1537996,410341,3.74809244018999
"25",2002,"서울",3842,0,0,0,0,1498641,759229,361244,378168,296570,81598,0,1498641,378168,3.96289744240655
"26",2003,"서울",3142,0,0,0,0,1485023,759010,359457,366556,289783,76773,0,1485023,366556,4.05128547888999
"27",2004,"서울",2958,0,0,0,0,1463418,736710,370551,356157,283748,72409,0,1463418,356157,4.10891264245824
"28",2005,"서울",2415,0,0,0,0,1443347,711136,379188,353023,283153,69870,0,1443347,353023,4.08853530789779
"29",2006,"서울",2589,0,0,0,0,1423300,689169,384977,349154,280429,68725,0,1423300,349154,4.07642472948899
"30",2007,"서울",2641,0,0,0,0,1396357,665227,375937,355193,288069,67124,0,1396357,355193,3.9312627219568
"31",2008,"서울",2414,0,0,0,0,1361007,633486,365579,361942,297663,64279,0,1361007,361942,3.7602903227589
"32",2009,"서울",2009,0,0,0,0,1322427,598514,355838,368075,306603,61472,0,1322427,368075,3.59281939822047
"33",2010,"서울",0,4269,192,1881,924,1274028,566149,345413,362466,303609,58857,0,1281294,362466,3.53493569051994
"34",2011,"서울",0,4440,176,1458,772,1219799,535948,330219,353632,0,0,233738,1106751,353632,3.12966869514071
"35",2012,"서울",0,4429,144,1265,589,1161632,502000,315241,344391,0,0,229293,1052961,344391,3.05745794750734
"36",2013,"서울",0,4100,119,866,540,1107766,469392,304251,334123,0,0,225493,1004761,334123,3.00715904023369
"37",2014,"서울",0,3291,139,829,448,1064741,457517,286826,320398,0,0,215311,964361,320398,3.00988458105232
"38",2015,"서울",0,2824,150,749,452,1022447,450675,263466,308306,0,0,204931,923247,308306,2.99458006007019
"39",2016,"서울",0,2912,123,809,466,975589,436121,239912,299556,0,0,198374,878717,299556,2.93339809584852
"40",2017,"서울",0,2845,156,1057,473,938302,428333,227001,282968,0,0,183526,843391,282968,2.98051723163043
