학년도,시도,학업중단자 총계,초등학교,,,중학교,,,,,,,,고등학교,,,,,,,,,,,,,,
,,,계,유예,면제,계,2003년 이후 기준,,2002년까지의 기준,,,,,계,유예,면제,자퇴(~2011학년도까지의 기준),,,,,자퇴(2012학년도 이후 기준),,,,,퇴학,제적
,,,,,,,유예,면제,질병,부적응,품행,가사,기타,,,,질병,부적응,품행,가사,기타,질병,가사,부적응,해외출국,기타,,
1999,전국,77795,12846,12846,0,16997,0,0,832,5332,848,4086,5899,47952,0,0,2327,19314,2916,17002,6393,0,0,0,0,0,0,0
2000,전국,85072,14734,14734,0,18810,0,0,851,5475,787,4382,7315,51528,0,0,2167,20699,2366,17990,8306,0,0,0,0,0,0,0
2001,전국,85431,18170,18170,0,19606,0,0,865,4879,432,4816,8614,47655,0,0,2201,17405,2061,16591,9397,0,0,0,0,0,0,0
2002,전국,72904,18956,18956,0,15753,0,0,831,2922,1068,3190,7742,38195,0,0,1729,12529,3106,13492,7339,0,0,0,0,0,0,0
2003,전국,70962,30056,29602,454,13276,11652,1624,0,0,0,0,0,27630,0,0,1407,11202,926,9277,4818,0,0,0,0,0,0,0
2004,전국,54995,16793,16562,231,14165,13390,775,0,0,0,0,0,24037,0,0,1360,9703,849,7577,4548,0,0,0,0,0,0,0
2005,전국,57148,18403,18150,253,15669,14920,749,0,0,0,0,0,23076,0,0,1522,9039,652,6775,5088,0,0,0,0,0,0,0
2006,전국,70796,23898,23691,207,18968,18415,553,0,0,0,0,0,27930,0,0,1968,10969,862,8057,6074,0,0,0,0,0,0,0
2007,전국,73494,20450,20211,239,20101,19512,589,0,0,0,0,0,32943,0,0,2174,14015,1034,10200,5520,0,0,0,0,0,0,0
2008,전국,71769,17644,17371,273,19675,19294,381,0,0,0,0,0,34450,0,0,1972,16267,672,10169,5370,0,0,0,0,0,0,0
2009,전국,61910,11634,11332,302,15736,15261,475,0,0,0,0,0,34540,0,0,2067,15268,475,8363,8367,0,0,0,0,0,0,0
2010,전국,76589,18836,13833,5003,18866,16665,2201,0,0,0,0,0,38887,0,0,2239,17548,483,4526,14091,0,0,0,0,0,0,0
2011,전국,74365,19163,12938,6225,17811,15344,2467,0,0,0,0,0,37391,0,0,2210,16419,452,2976,15334,0,0,0,0,0,0,0
2012,전국,68188,16828,8916,7912,16426,14015,2411,0,0,0,0,0,34934,322,14,0,0,0,0,0,1429,2327,17454,4376,7967,1045,0
2013,전국,60568,15908,7627,8281,14278,11856,2422,0,0,0,0,0,30382,151,20,0,0,0,0,0,1272,1572,15672,3923,6589,788,395
2014,전국,51906,14886,6775,8111,11702,9450,2252,0,0,0,0,0,25318,120,4,0,0,0,0,0,1006,624,9781,3939,8739,858,247
2015,전국,47070,14555,6357,8198,9961,7840,2121,0,0,0,0,0,22554,118,11,0,0,0,0,0,882,503,7963,3693,8386,790,208
2016,전국,47663,14998,5990,9008,8924,6689,2235,0,0,0,0,0,23741,94,13,0,0,0,0,0,993,346,7208,3938,10227,777,145
2017,전국,50057,16422,6745,9677,9129,6758,2371,0,0,0,0,0,24506,98,9,0,0,0,0,0,997,280,7042,3629,11558,780,113
2018,전국,52539,17797,7102,10695,9764,7437,2327,0,0,0,0,0,24978,78,11,0,0,0,0,0,1176,262,6968,3567,12128,721,67
2019,전국,52261,18366,7628,10738,10001,7404,2597,0,0,0,0,0,23894,71,12,0,0,0,0,0,1054,147,6694,3077,12252,545,42
1999,서울,21323,3897,3897,0,4951,0,0,160,1057,52,1332,2350,12475,0,0,471,4780,928,3835,2461,0,0,0,0,0,0,0
2000,서울,23909,4632,4632,0,5955,0,0,162,1189,72,1544,2988,13322,0,0,500,4663,685,4182,3292,0,0,0,0,0,0,0
2001,서울,23126,5182,5182,0,6389,0,0,159,943,40,1937,3310,11555,0,0,442,3610,761,3413,3329,0,0,0,0,0,0,0
2002,서울,19755,5622,5622,0,5228,0,0,206,651,216,1162,2993,8905,0,0,398,2102,713,3046,2646,0,0,0,0,0,0,0
2003,서울,15150,5589,5550,39,4021,3364,657,0,0,0,0,0,5540,0,0,278,2011,139,2289,823,0,0,0,0,0,0,0
2004,서울,13524,4200,4167,33,4198,3897,301,0,0,0,0,0,5126,0,0,253,1854,124,1934,961,0,0,0,0,0,0,0
2005,서울,14353,4834,4813,21,4937,4629,308,0,0,0,0,0,4582,0,0,290,1766,80,1531,915,0,0,0,0,0,0,0
2006,서울,17573,6639,6615,24,5722,5528,194,0,0,0,0,0,5212,0,0,358,2056,91,1433,1274,0,0,0,0,0,0,0
2007,서울,16723,5103,5065,38,5563,5404,159,0,0,0,0,0,6057,0,0,420,2269,114,1687,1567,0,0,0,0,0,0,0
2008,서울,16255,5132,5097,35,5324,5206,118,0,0,0,0,0,5799,0,0,384,2391,75,1470,1479,0,0,0,0,0,0,0
2009,서울,13381,3718,3672,46,4048,3923,125,0,0,0,0,0,5615,0,0,391,2250,82,1256,1636,0,0,0,0,0,0,0
2010,서울,18578,6542,4786,1756,4770,3984,786,0,0,0,0,0,7266,0,0,448,2474,55,818,3471,0,0,0,0,0,0,0
