시도,국어A,,국어B,,수학A,,수학B,,영어,
시도평균,표준점수,편차,표준점수,편차,표준점수,편차,표준점수,편차,표준점수,편차
서울,101.7,20.1,98.6,21.1,99.8,20.8,101.8,19.2,101,20.4
부산,99.9,18.9,99.6,19.4,100,18.8,101.2,18.5,99.6,18.8
대구,102.7,18,101.1,18.8,102,18.7,102.8,18.3,102.1,18.4
인천,97.7,18.8,97.3,20.2,98.8,18.5,100.3,18.4,95.6,19.3
광주,101.4,18.8,101.9,18.4,102.8,19,104.4,17.5,101.5,18.7
대전,99.7,18.8,98.8,20.2,98.8,18.9,100.5,18.9,99.6,19.5
울산,98.1,18.9,96.8,19.7,100.3,18.2,103.2,18.3,97.6,18.7
경기,98.5,19.9,96.8,20.9,97.3,19.2,100.3,19.3,97.4,20.3
강원,96.6,18.9,96.6,19.6,95.9,17,90.8,19.1,94.9,18.8
충북,98.9,18.1,100,19,99.8,18,95.3,20.3,98.5,18
충남,96.3,20.1,98.4,20.2,98.3,18.3,92.7,21.6,96.7,19.4
전북,98.7,19.8,99.2,19.2,99.3,19.2,89.4,20.2,97.3,19.2
전남,96,19.1,97.1,19.8,97.3,17.7,91.1,20.5,95.2,19.2
경북,97.7,19.6,98.3,19.9,98.9,18.2,93.9,21.3,97.1,19.5
경남,96.8,19.6,96.4,20.3,98.3,18.1,93.3,20.8,96,18.9
제주,103.9,19.1,100.4,20.1,103.4,19.7,107.3,15.9,102.1,18.7
세종,93.9,19.8,99.3,21.2,99.3,19.1,89.5,20.2,96.2,20.7
전체,99.2,19.5,98.1,20.3,99,19.1,98.7,19.9,98.4,19.7
