city,mean_k,sd_k,mean_mA,sd_mA,mean_mB,sd_mB,n
서울,100.9,20.3,102.9,18.7,100.7,20.8,69905
부산,98.3,19,99.7,18.5,99.6,19.1,24012
대구,100.4,18.5,100.4,17.8,100.8,19,20909
인천,95.7,18.7,95.1,19.1,98.1,18.7,20156
광주,99.2,18.6,100.7,18,100.4,19.1,15439
대전,97.5,19.5,97.8,19.2,97.4,19,13260
울산,96.1,19.1,101.1,18.4,99.9,18.2,9688
경기,96.9,20.1,98,20,98.2,19.7,98179
강원,93.6,18.8,90.4,20,95.8,18.2,11014
충북,97.3,18.5,92.3,19.7,99,18,10814
충남,95.4,19.6,92.4,20.9,96.9,18.4,12694
전북,97.7,19.4,91.6,20.5,98.3,19.1,14757
전남,94.7,18.9,89.4,19.7,96.4,18.3,13946
경북,96.7,19.2,92.6,20.4,98.3,18.5,18953
경남,94.8,19.2,93.7,19.9,98.3,18.7,26304
제주,100.9,18.7,104.4,16.6,103,19.1,5236
세종,97.1,19.3,91.6,19.7,98.3,19.7,1954
