시도,국어A,,국어B,,수학A,,수학B,,영어,
시도평균,표준점수,편차,표준점수,편차,표준점수,편차,표준점수,편차,표준점수,편차
,,,,,,,,,,
서울,101.1,20.2,98.2,21,99.4,20.7,102.3,18.7,100.5,20.6
부산,101.2,18.6,99.4,19.1,100.1,19,99.8,18.5,100,18.7
대구,103.6,17.7,100.6,18.5,102.4,18.7,102.8,17.3,102.3,18.2
인천,98.2,19.4,97.3,20.1,99.1,19.1,100.3,18.4,95.8,19.6
광주,102.7,18.2,101.7,18.1,103.3,18.6,105.5,15.8,102.1,18.1
대전,101.3,18.7,99.6,20,99.5,19.4,101.3,18.3,100.4,19.2
울산,98.4,19.2,96.3,19.8,99.9,18.5,101.5,18.8,97.7,18.5
경기,98.5,19.9,97.1,20.6,97.5,19.7,101.1,19,97.6,20.3
강원,98.5,19.4,98.3,20.6,98.7,18.8,94.5,19.5,97.4,19.5
충북,100.9,17.8,100.7,18.6,101.2,18.4,96,20.2,99.9,17.4
충남,98.5,19.8,99.1,20.2,99.8,18.9,95.5,20.8,97.6,19.3
전북,101.6,18.7,100.5,19,100.5,19.2,91.4,20,99.6,18.3
전남,98.6,19.2,98.3,19.5,98.8,18.4,92.5,20.5,97.3,18.8
경북,99.6,19.3,98.9,19.8,99.8,18.9,95.1,20.9,98,19.2
경남,98.6,19.7,96.6,20.1,99.6,18.8,92.6,21.2,96.9,19
제주,106.6,18.2,102.4,18.7,105.7,19.1,106.2,15.5,104.4,17.7
세종,93.5,19.4,95.1,19.1,93.8,17,86.9,19.6,91.7,18.4
전체,100,19.5,98.4,20.1,99.5,19.5,99.2,19.5,99,19.6
