시도,국어,,수학가,,수학나,
시도평균,표준점수,편차,표준점수,편차,표준점수,편차
서울,100.9,20.3,102.9,18.7,100.7,20.8
부산,98.3,19,99.7,18.5,99.6,19.1
대구,100.4,18.5,100.4,17.8,100.8,19
인천,95.7,18.7,95.1,19.1,98.1,18.7
광주,99.2,18.6,100.7,18,100.4,19.1
대전,97.5,19.5,97.8,19.2,97.4,19
울산,96.1,19.1,101.1,18.4,99.9,18.2
경기,96.9,20.1,98,20,98.2,19.7
강원,93.6,18.8,90.4,20,95.8,18.2
충북,97.3,18.5,92.3,19.7,99,18
충남,95.4,19.6,92.4,20.9,96.9,18.4
전북,97.7,19.4,91.6,20.5,98.3,19.1
전남,94.7,18.9,89.4,19.7,96.4,18.3
경북,96.7,19.2,92.6,20.4,98.3,18.5
경남,94.8,19.2,93.7,19.9,98.3,18.7
제주,100.9,18.7,104.4,16.6,103,19.1
세종,97.1,19.3,91.6,19.7,98.3,19.7
전체,97.7,19.6,97.5,19.8,98.9,19.4
